datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C128,SHUSS_1000_C128,1233,1218,1222,1228
2021_04_07_19_26_40,SHUSS_1000_C128,UCB_1000,SHUSS_1000_C128,1228,1054,1233,1048
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C128,SHUSS_1000_C128,1048,1233,1042,1238
2021_04_07_19_26_40,SHUSS_1000_C64,UCB_1000,SHUSS_1000_C64,1302,1042,1305,1038
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C64,SHUSS_1000_C64,1038,1305,1034,1308
2021_04_07_19_26_40,SHUSS_1000_C64,SHUSS_1000_C128,SHUSS_1000_C64,1308,1238,1316,1229
2021_04_07_19_26_40,SHUSS_1000_C128,SHUSS_1000_C64,SHUSS_1000_C64,1229,1316,1221,1323
2021_04_07_19_26_40,SHUSS_1000_C16,UCT_1000,SHUSS_1000_C16,1297,1154,1303,1147
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C16,SHUSS_1000_C16,1147,1303,1141,1308
2021_04_07_19_26_40,SHUSS_1000_C256,UCB_1000,SHUSS_1000_C256,1200,1034,1205,1028
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C256,SHUSS_1000_C256,1028,1205,1022,1210
2021_04_07_19_26_40,GRAVE_1000,RAVE_1000,GRAVE_1000,1222,1188,1231,1178
2021_04_07_19_26_40,RAVE_1000,GRAVE_1000,GRAVE_1000,1178,1231,1169,1239
2021_04_07_19_26_40,UCT_1000,RAVE_1000,RAVE_1000,1141,1169,1131,1178
2021_04_07_19_26_40,RAVE_1000,UCT_1000,UCT_1000,1178,1131,1166,1142
2021_04_07_19_26_40,GRAVE_1000,UCB_1000,UCB_1000,1239,1022,1223,1037
2021_04_07_19_26_40,UCB_1000,GRAVE_1000,GRAVE_1000,1037,1223,1031,1228
2021_04_07_19_26_40,SHUSS_1000_C64,SH_1000,SH_1000,1323,1186,1309,1199
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C64,SHUSS_1000_C64,1199,1309,1192,1315
2021_04_07_19_26_40,SHUSS_1000_C256,SH_1000,SH_1000,1210,1192,1199,1202
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C256,SHUSS_1000_C256,1202,1199,1191,1209
2021_04_07_19_26_40,UCT_1000,GRAVE_1000,GRAVE_1000,1142,1228,1134,1235
2021_04_07_19_26_40,GRAVE_1000,UCT_1000,UCT_1000,1235,1134,1222,1146
2021_04_07_19_26_40,SHUSS_1000_C256,UCT_1000,SHUSS_1000_C256,1209,1146,1217,1137
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C256,SHUSS_1000_C256,1137,1217,1129,1224
2021_04_07_19_26_40,SH_1000,UCB_1000,SH_1000,1191,1031,1196,1025
2021_04_07_19_26_40,UCB_1000,SH_1000,SH_1000,1025,1196,1019,1201
2021_04_07_19_26_40,SHUSS_1000_C128,SHUSS_1000_C256,SHUSS_1000_C128,1221,1224,1231,1213
2021_04_07_19_26_40,SHUSS_1000_C256,SHUSS_1000_C128,SHUSS_1000_C256,1213,1231,1223,1220
2021_04_07_19_26_40,SH_1000,GRAVE_1000,SH_1000,1201,1222,1211,1211
2021_04_07_19_26_40,GRAVE_1000,SH_1000,GRAVE_1000,1211,1211,1221,1201
2021_04_07_19_26_40,SHUSS_1000_C64,SHUSS_1000_C256,SHUSS_1000_C256,1315,1223,1302,1235
